DATE_KEY,DATE_FLD,DATE_NAME,DATE_KEY_LY,DATE_FLD_LY,DAY_IN_YEAR,DAY_IN_MONTH,DAY_IN_WEEK,DAY_TYPE,YEAR_OF_DAY,YEAR_NAME,HALF_IN_YEAR,HALF_YEAR_NAME,QUARTER_IN_YEAR,QUARTER_NAME,MONTH_IN_QUARTER,MONTH_IN_YEAR,MONTH_NAME,WEEK_IN_YEAR,WEEK_NAME_IN_YEAR,WEEK_IN_MONTH,WEEK_NAME_IN_MONTH,WEEK_ST_DATE_KEY,WEEK_END_DATE_KEY,MONTH_ST_DATE_KEY,MONTH_END_DATE_KEY
6234,2023-01-25 00:00:00.000,Wednesday,5869,2022-01-25 00:00:00.000,25,25,4,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202304,W4,4,W4,6231,6237,6210,6240
6235,2023-01-26 00:00:00.000,Thursday,5870,2022-01-26 00:00:00.000,26,26,5,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202304,W4,4,W4,6231,6237,6210,6240
6236,2023-01-27 00:00:00.000,Friday,5871,2022-01-27 00:00:00.000,27,27,6,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202304,W4,4,W4,6231,6237,6210,6240
6237,2023-01-28 00:00:00.000,Saturday,5872,2022-01-28 00:00:00.000,28,28,7,Week End,2023,2023,202301,H1,202301,Q1,1,1,JAN,202304,W4,4,W4,6231,6237,6210,6240
6238,2023-01-29 00:00:00.000,Sunday,5873,2022-01-29 00:00:00.000,29,29,1,Week End,2023,2023,202301,H1,202301,Q1,1,1,JAN,202305,W5,5,W5,6238,6244,6210,6240
6239,2023-01-30 00:00:00.000,Monday,5874,2022-01-30 00:00:00.000,30,30,2,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202305,W5,5,W5,6238,6244,6210,6240
6240,2023-01-31 00:00:00.000,Tuesday,5875,2022-01-31 00:00:00.000,31,31,3,Week Day,2023,2023,202301,H1,202301,Q1,1,1,JAN,202305,W5,5,W5,6238,6244,6210,6240
6241,2023-02-01 00:00:00.000,Wednesday,5876,2022-02-01 00:00:00.000,32,1,4,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202305,W5,5,W5,6238,6244,6241,6268
6242,2023-02-02 00:00:00.000,Thursday,5877,2022-02-02 00:00:00.000,33,2,5,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202305,W5,5,W5,6238,6244,6241,6268
6243,2023-02-03 00:00:00.000,Friday,5878,2022-02-03 00:00:00.000,34,3,6,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202305,W5,5,W5,6238,6244,6241,6268
6244,2023-02-04 00:00:00.000,Saturday,5879,2022-02-04 00:00:00.000,35,4,7,Week End,2023,2023,202301,H1,202301,Q1,2,2,FEB,202305,W5,5,W5,6238,6244,6241,6268
6245,2023-02-05 00:00:00.000,Sunday,5880,2022-02-05 00:00:00.000,36,5,1,Week End,2023,2023,202301,H1,202301,Q1,2,2,FEB,202306,W6,6,W6,6245,6251,6241,6268
6246,2023-02-06 00:00:00.000,Monday,5881,2022-02-06 00:00:00.000,37,6,2,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202306,W6,6,W6,6245,6251,6241,6268
6247,2023-02-07 00:00:00.000,Tuesday,5882,2022-02-07 00:00:00.000,38,7,3,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202306,W6,6,W6,6245,6251,6241,6268
6248,2023-02-08 00:00:00.000,Wednesday,5883,2022-02-08 00:00:00.000,39,8,4,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202306,W6,6,W6,6245,6251,6241,6268
6249,2023-02-09 00:00:00.000,Thursday,5884,2022-02-09 00:00:00.000,40,9,5,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202306,W6,6,W6,6245,6251,6241,6268
6250,2023-02-10 00:00:00.000,Friday,5885,2022-02-10 00:00:00.000,41,10,6,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202306,W6,6,W6,6245,6251,6241,6268
6251,2023-02-11 00:00:00.000,Saturday,5886,2022-02-11 00:00:00.000,42,11,7,Week End,2023,2023,202301,H1,202301,Q1,2,2,FEB,202306,W6,6,W6,6245,6251,6241,6268
6252,2023-02-12 00:00:00.000,Sunday,5887,2022-02-12 00:00:00.000,43,12,1,Week End,2023,2023,202301,H1,202301,Q1,2,2,FEB,202307,W7,7,W7,6252,6258,6241,6268
6253,2023-02-13 00:00:00.000,Monday,5888,2022-02-13 00:00:00.000,44,13,2,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202307,W7,7,W7,6252,6258,6241,6268
6254,2023-02-14 00:00:00.000,Tuesday,5889,2022-02-14 00:00:00.000,45,14,3,Week Day,2023,2023,202301,H1,202301,Q1,2,2,FEB,202307,W7,7,W7,6252,6258,6241,6268
